England Premier League,Spain LIGA BBVA,Netherlands Eredivisie,Scotland Premier League,Poland Ekstraklasa,Belgium Jupiler League,Switzerland Super League,Portugal Liga ZON Sagres,France Ligue 1,Italy Serie A,Germany 1. Bundesliga
191.31199999999995,74.55,11.649999999999999,10.332,0.0,33.11,0.0,2.683,14.45,7.82,20.235
35.092,80.72999999999999,2.13,0.0,0.0,2.89,0.0,92.15,16.15,36.55,9.99
0.0,1.28,40.76200000000001,0.0,0.0,0.68,0.0,1.7,0.0,0.0,0.009000000000000001
0.0,0.0,0.0,1.45,0.0,0.935,0.0,0.0,0.391,0.425,0.0
0.0,0.0,0.0,0.0,2.2070000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0,2.81,0.0,1.62,11.113999999999999,0.0,0.0,0.0,0.425,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,0.0,1.28
4.25,18.369999999999997,8.009999999999998,0.0,0.0,18.490000000000002,0.0,4.9079999999999995,1.7,2.21,0.0
4.25,3.66,2.55,0.0,0.0,0.425,2.9799999999999995,0.0,71.27499999999999,55.00000000000001,3.405
2.346,52.279999999999994,12.620000000000001,0.0,0.0,0.0,4.46,0.51,11.353,251.647,19.3
16.84,0.0,1.53,0.0,3.915,5.699999999999999,13.35,1.28,0.0,6.38,76.12100000000001
