England Premier League,Spain LIGA BBVA,Netherlands Eredivisie,Scotland Premier League,Poland Ekstraklasa,Belgium Jupiler League,Switzerland Super League,Portugal Liga ZON Sagres,France Ligue 1,Italy Serie A,Germany 1. Bundesliga
155.016,47.91,33.5,14.053,0.0,10.46,4.59,17.808000000000003,105.93,60.53,33.629999999999995
54.4,37.254999999999995,0.0,0.0,0.0,0.0,0.0,6.683,5.7379999999999995,0.0,0.0
0.0,0.0,17.372,0.0,0.264,0.51,0.0,0.0,0.0,0.0,1.02
2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.156,0.085,0.0,0.0,0.0,0.0,0.0
0.663,0.0,2.447,0.0,0.0,17.097,0.0,0.425,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0409999999999995,0.0,0.0,0.0,0.425
0.0,9.35,8.415000000000001,0.0,0.0,0.0,0.0,9.098,0.34,0.0,0.0
0.0,1.7,7.4399999999999995,0.0,0.68,0.0,0.0,2.7199999999999998,40.434999999999995,80.71,0.0
23.21,10.2,0.0,0.0,2.7249999999999996,0.0,0.0,32.71000000000001,4.26,195.346,1.19
11.05,45.475,16.363,0.0,2.98,7.558,17.77,0.0,0.0,9.79,74.58099999999999
