player_name,season,team_long_name,league
Fabrice Ehret,2008/2009,1. FC Köln,Germany 1. Bundesliga
Adil Chihi,2008/2009,1. FC Köln,Germany 1. Bundesliga
Youssef Wasef Mohamad,2008/2009,1. FC Köln,Germany 1. Bundesliga
Faryd Mondragon,2008/2009,1. FC Köln,Germany 1. Bundesliga
Kevin Pezzoni,2008/2009,1. FC Köln,Germany 1. Bundesliga
Umit Ozat,2008/2009,1. FC Köln,Germany 1. Bundesliga
Geromel,2008/2009,1. FC Köln,Germany 1. Bundesliga
Kevin McKenna,2008/2009,1. FC Köln,Germany 1. Bundesliga
Marvin Matip,2008/2009,1. FC Köln,Germany 1. Bundesliga
Wilfried Sanou,2008/2009,1. FC Köln,Germany 1. Bundesliga
Thomas Kessler,2008/2009,1. FC Köln,Germany 1. Bundesliga
Daniel Brosinski,2008/2009,1. FC Köln,Germany 1. Bundesliga
Miso Brecko,2008/2009,1. FC Köln,Germany 1. Bundesliga
Derek Boateng,2008/2009,1. FC Köln,Germany 1. Bundesliga
Petit,2008/2009,1. FC Köln,Germany 1. Bundesliga
Milivoje Novakovic,2008/2009,1. FC Köln,Germany 1. Bundesliga
Roda Antar,2008/2009,1. FC Köln,Germany 1. Bundesliga
Pierre Wome,2008/2009,1. FC Köln,Germany 1. Bundesliga
Nemanja Vucicevic,2008/2009,1. FC Köln,Germany 1. Bundesliga
Taner Yalcin,2008/2009,1. FC Köln,Germany 1. Bundesliga
Thomas Broich,2008/2009,1. FC Köln,Germany 1. Bundesliga
Sergiu Marian Radu,2008/2009,1. FC Köln,Germany 1. Bundesliga
Henri Siqueira-Barras,2008/2009,AC Bellinzona,Switzerland Super League
Yacine Hima,2008/2009,AC Bellinzona,Switzerland Super League
Angelo Raso,2008/2009,AC Bellinzona,Switzerland Super League
Shkelzen Gashi,2008/2009,AC Bellinzona,Switzerland Super League
Alessandro Ciarrocchi,2008/2009,AC Bellinzona,Switzerland Super League
Manuel Rivera,2008/2009,AC Bellinzona,Switzerland Super League
Alessandro Mangiarrati,2008/2009,AC Bellinzona,Switzerland Super League
Lorenzo Bucchi,2008/2009,AC Bellinzona,Switzerland Super League
Drissa Diarra,2008/2009,AC Bellinzona,Switzerland Super League
Guerkan Sermeter,2008/2009,AC Bellinzona,Switzerland Super League
Andrea Conti,2008/2009,AC Bellinzona,Switzerland Super League
Frank Feltscher,2008/2009,AC Bellinzona,Switzerland Super League
Carlo Zotti,2008/2009,AC Bellinzona,Switzerland Super League
Emiliano Ariel Dudar,2008/2009,AC Bellinzona,Switzerland Super League
Jerome Thiesson,2008/2009,AC Bellinzona,Switzerland Super League
Iacopo La Rocca,2008/2009,AC Bellinzona,Switzerland Super League
Mauro Lustrinelli,2008/2009,AC Bellinzona,Switzerland Super League
Genc Mehmeti,2008/2009,AC Bellinzona,Switzerland Super League
Csaba Horvath,2008/2009,ADO Den Haag,Netherlands Eredivisie
Joel Tillema,2008/2009,ADO Den Haag,Netherlands Eredivisie
Ahmed Ammi,2008/2009,ADO Den Haag,Netherlands Eredivisie
Robert Zwinkels,2008/2009,ADO Den Haag,Netherlands Eredivisie
Timothy Derijck,2008/2009,ADO Den Haag,Netherlands Eredivisie
Richard Knopper,2008/2009,ADO Den Haag,Netherlands Eredivisie
Bogdan Milic,2008/2009,ADO Den Haag,Netherlands Eredivisie
Aleksandar Rankovic,2008/2009,ADO Den Haag,Netherlands Eredivisie
Lex Immers,2008/2009,ADO Den Haag,Netherlands Eredivisie
Danny Buijs,2008/2009,ADO Den Haag,Netherlands Eredivisie
Boy Waterman,2008/2009,ADO Den Haag,Netherlands Eredivisie
Berry Powel,2008/2009,ADO Den Haag,Netherlands Eredivisie
Wesley Verhoek,2008/2009,ADO Den Haag,Netherlands Eredivisie
Christiaan Kum,2008/2009,ADO Den Haag,Netherlands Eredivisie
